Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,Sentiment,Predicted_Close
370,2011-12-14,5.9,5.936,5.6,5.706,5.706,5819500,0,5.980540911426658
371,2011-12-15,5.734,5.834,5.624,5.724,5.724,3501500,0,5.848682634920692
372,2011-12-16,5.758,5.786,5.596,5.6,5.6,5148500,0,5.8410656804447
373,2011-12-19,5.618,5.7,5.474,5.55,5.55,4935000,0,5.7646129221133435
374,2011-12-20,5.61,5.69,5.544,5.58,5.58,4216500,0,5.71214388149599
375,2011-12-21,5.582,5.614,5.206,5.514,5.514,8527500,0,5.722697313529238
376,2011-12-22,5.52,5.61,5.46,5.554,5.554,5047000,0,5.684403857465043
377,2011-12-23,5.6,5.6,5.504,5.58,5.58,2957000,0,5.705719405215859
378,2011-12-27,5.532,5.754,5.528,5.714,5.714,3887500,0,5.735069274811195
379,2011-12-28,5.798,5.848,5.608,5.702,5.702,2876000,0,5.851246463041747
380,2011-12-29,5.718,5.868,5.71,5.746,5.746,2441000,0,5.878315718087521
381,2011-12-30,5.698,5.796,5.65,5.712,5.712,1699000,0,5.907456903998593
382,2012-01-03,5.788,5.9,5.53,5.616,5.616,4640500,0,5.874410351996119
383,2012-01-04,5.642,5.734,5.5,5.542,5.542,3150500,0,5.7792058740350285
384,2012-01-05,5.552,5.586,5.37,5.424,5.424,5027500,0,5.686833531789091
385,2012-01-06,5.44,5.558,5.282,5.382,5.382,4931500,0,5.574278496078421
386,2012-01-09,5.4,5.498,5.224,5.45,5.45,4485000,0,5.522420600536435
387,2012-01-10,5.488,5.552,5.45,5.524,5.524,3359000,0,5.58077750224578
388,2012-01-11,5.524,5.676,5.46,5.646,5.646,3361500,0,5.679469978929745
389,2012-01-12,5.696,5.724,5.562,5.65,5.65,3646500,0,5.812729417315836
390,2012-01-13,5.68,5.7,4.528,4.558,4.558,27502000,-1,5.847639216499317
391,2012-01-17,5.324,5.468,5.282,5.32,5.32,23258000,0,4.985909754246592
392,2012-01-18,5.338,5.376,5.25,5.362,5.362,6301000,0,5.245527163460338
393,2012-01-19,5.438,5.548,5.322,5.352,5.352,6231500,0,5.441063775624656
394,2012-01-20,5.38,5.4,5.28,5.32,5.32,3311500,0,5.579629741982274
395,2012-01-23,5.362,5.442,5.32,5.354,5.354,2973000,0,5.576842324199504
396,2012-01-24,5.326,5.536,5.288,5.484,5.484,4290000,0,5.560609714758499
397,2012-01-25,5.454,5.602,5.41,5.594,5.594,3056000,0,5.633962029780662
398,2012-01-26,5.614,5.916,5.6,5.788,5.788,6355500,0,5.742760759174416
399,2012-01-27,5.7,5.944,5.7,5.866,5.866,3742000,0,5.9274011018241595
